target_D,actual_D,fractal_r_squared,realization,rms_acceleration,rms_force,rms_stress,total_vibration_energy,total_force_energy,peak_frequency_acc,peak_frequency_force,spectral_exponent_acc,spectral_amplitude_acc,spectral_r2_acc,spectral_exponent_force,spectral_amplitude_force,spectral_r2_force
2.45,2.4860028805813084,0.9980050053684337,2,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.483766400401115,0.9981164755974153,3,13.706909919213603,79322.36343829283,497560.8300674538,0.004232719976082408,18386404.971685927,0.33984375,0.0,0.2344089266117311,0.004446245087269934,0.28457814634288214,-0.0378544266782939,76620.3289151419,0.046927235605954326
2.45,2.489078693532572,0.9979695308996107,4,30.278633878763465,36921.608986186286,1099114.4097991139,0.0666283245968872,234754.32876878703,0.3984375,0.0,-0.04141399586191501,0.0950920642559614,0.004573078513482308,-1.234930387349928,119121.12727994664,0.9625640984161534
2.45,2.4963647540330434,0.9977824778566983,5,4.6325717828405875,15933.250683836524,168162.35571711333,0.0004961926090746582,664334.8682998889,0.28125,0.0,0.5148520415657898,0.00037419517910012754,0.5609512995919376,-0.30374186717135576,4145.26539651097,0.7371119450573893
2.45,2.487203001219898,0.9980461086432728,6,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.5011316844106752,0.9977639061310887,7,6.83096751750619,6919.35155514622,247964.1208854747,0.0010476846760432588,143591.47228306322,0.375,0.0,0.09425208515208001,0.001288032625550922,0.06850842910492184,0.03007474166596405,540.8890444975757,0.030241007837113254
2.45,2.4876871946948436,0.9979603243782844,8,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.4966929505165147,0.9978090607359282,9,32.56492862800963,25400.660378854114,1182106.9091967496,0.06985428599915991,226268.75634254786,0.43359375,0.0,-0.3423576197953593,0.1353560634502393,0.2568471894622116,-0.595955637358188,53909.62676386141,0.9013454278798173
2.45,2.481038015324335,0.9980323991150756,10,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.489245901949004,0.9980062198668468,11,4.803447260219009,23910.640263099114,174365.13554595003,0.0005180506283073967,1714668.8830825638,0.375,0.0,0.09425208515208,0.0006368959346309366,0.0685084291049219,0.03007474184065427,6458.91847426116,0.030241008177336957
2.45,2.4863284590820984,0.9980158295659168,12,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.4917535157081407,0.9978208549637866,13,29.83165718324328,21689.888209983554,1082889.155751731,0.0660250710796447,1709860.6165935313,0.36328125,0.0,0.279247586368825,0.06607476377585872,0.1443708573238915,0.1336860934583053,23727.165437562006,0.3728477346437253
2.45,2.5089629803778215,0.9976304911150344,14,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.486400644064092,0.9979637868377617,15,9.361775778356959,9522.384212168849,339832.4607543576,0.0019821517057934113,329826.78307413,0.43359375,0.0,-0.10646929846998421,0.0030220660601922053,0.09279065368214277,0.6142694707274206,535.4502101603201,0.8395593055815306
2.45,2.479717131391785,0.9981174036977604,16,31.788088742831555,68137.98913150253,1153907.6213647854,0.06873183709162009,5581209.041949468,0.421875,0.0,-0.26429195912622344,0.12333351421059478,0.1687093233443776,-1.4024475983368516,272687.4503131316,0.9623691154809793
2.45,2.5032963394898666,0.9977290101860475,17,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.45,2.4977544976674375,0.9977366713059305,18,30.495079187169395,22611.184802342377,1106971.374494249,0.0669236699206874,686519.0824093805,0.41015625,0.0,-0.08528708147042453,0.10003173820820682,0.01950062490567029,-0.2918912205922926,38085.57734894632,0.7228286706054046
2.45,2.4939683126724774,0.9978919971108059,19,12.864542641238293,36726.7867385985,466982.89787695,0.0037301657425408983,3821263.4104517214,0.328125,0.0,0.24366272925612442,0.003877073694079579,0.298341073676451,-0.11609236041218739,17906.603712817017,0.3115437832939774
