vehicle,target_D,beta_measured,beta_r2,rms_amplitude,energy,rms_acceleration,seed,realization
Vehicle B,2.25,1.8520887134493202,0.897979686807486,5.0,14.383970521720435,3.79262053489674,22507,7
Vehicle C,2.25,1.8520887134493202,0.897979686807486,5.0,17.500803533099475,4.183396172142853,22507,7
Vehicle A,2.25,1.5575949192330192,0.7864873686148,5.000000000000001,14.383970521720435,3.79262053489674,22508,8
Vehicle B,2.25,1.5575949192330192,0.7864873686148,5.000000000000001,25.995333604628943,5.0985619153472035,22508,8
Vehicle C,2.25,1.5575949192330192,0.7864873686148,5.000000000000001,31.624407313877917,5.623558243130226,22508,8
Vehicle A,2.25,1.809697070366536,0.8318200698528896,5.000000000000001,25.995333604628943,5.0985619153472035,22509,9
Vehicle B,2.25,1.809697070366536,0.8318200698528896,5.000000000000001,26.010711077019618,5.100069712956835,22509,9
Vehicle C,2.25,1.809697070366536,0.8318200698528896,5.000000000000001,28.716143687273743,5.358744599929516,22509,9
Vehicle A,2.25,2.0724900183565573,0.8538945127667278,5.0,26.010711077019618,5.100069712956835,22510,10
Vehicle B,2.25,2.0724900183565573,0.8538945127667278,5.0,11.461634563855617,3.3855035908791495,22510,10
Vehicle C,2.25,2.0724900183565573,0.8538945127667278,5.0,13.914326691369483,3.730191240589346,22510,10
Vehicle A,2.25,1.7405743070593784,0.8825695117954886,5.0,28.716143687273743,5.358744599929516,22511,11
Vehicle B,2.25,1.7405743070593784,0.8825695117954886,5.0,23.468656058872366,4.844445898023051,22511,11
Vehicle C,2.25,1.7405743070593784,0.8825695117954886,5.0,30.284587586103527,5.503143427724152,22511,11
Vehicle A,2.25,1.8001476296303007,0.8521946738290127,5.0,28.716143687273743,5.358744599929516,22512,12
Vehicle B,2.25,1.8001476296303007,0.8521946738290127,5.0,26.325783164554906,5.130865732462204,22512,12
Vehicle C,2.25,1.8001476296303007,0.8521946738290127,5.0,34.48577601124853,5.872459111075064,22512,12
Vehicle A,2.25,1.6018577412162396,0.8418846285168956,4.999999999999999,30.284587586103527,5.503143427724152,22513,13
Vehicle B,2.25,1.6018577412162396,0.8418846285168956,4.999999999999999,10.088239265279162,3.176198870549381,22513,13
Vehicle C,2.25,1.6018577412162396,0.8418846285168956,4.999999999999999,12.239054569596155,3.4984360176507665,22513,13
Vehicle A,2.25,1.7984432043467646,0.8614856232127361,5.000000000000001,10.088239265279162,3.176198870549381,22514,14
Vehicle B,2.25,1.7984432043467646,0.8614856232127361,5.000000000000001,19.17034141491503,4.3783948445651895,22514,14
Vehicle C,2.25,1.7984432043467646,0.8614856232127361,5.000000000000001,23.237102886595927,4.820487826620448,22514,14
Vehicle A,2.25,1.8523397443587672,0.8496712262106527,5.0,19.17034141491503,4.3783948445651895,22515,15
Vehicle B,2.25,1.8523397443587672,0.8496712262106527,5.0,15.39864796132595,3.9241111046103105,22515,15
Vehicle C,2.25,1.8523397443587672,0.8496712262106527,5.0,18.748322067861544,4.329933263672957,22515,15
Vehicle A,2.25,1.7792788764057559,0.8894146758325269,5.0,18.748322067861544,4.329933263672957,22516,16
Vehicle B,2.25,1.7792788764057559,0.8894146758325269,5.0,32.17207063756348,5.6720428980715125,22516,16
Vehicle C,2.25,1.7792788764057559,0.8894146758325269,5.0,39.165858162118454,6.258263190544039,22516,16
Vehicle A,2.25,1.7332384110543357,0.8196967917062599,5.0,39.165858162118454,6.258263190544039,22517,17
Vehicle B,2.25,1.7332384110543357,0.8196967917062599,5.0,25.253636543406238,5.025299647126153,22517,17
Vehicle C,2.25,1.7332384110543357,0.8196967917062599,5.0,30.84517921148379,5.553843643053321,22517,17
Vehicle A,2.25,1.7513001231690684,0.8062989311855536,4.999999999999999,15.39864796132595,3.9241111046103105,22518,18
Vehicle B,2.25,1.7513001231690684,0.8062989311855536,4.999999999999999,7.270037359267836,2.6963006804263943,22518,18
Vehicle C,2.25,1.7513001231690684,0.8062989311855536,4.999999999999999,8.840172533097428,2.9732427639023067,22518,18
Vehicle A,2.25,1.4074550734989701,0.7332034483882233,5.0,30.84517921148379,5.553843643053321,22519,19
Vehicle B,2.25,1.4074550734989701,0.7332034483882233,5.0,25.904792351402364,5.08967507326375,22519,19
Vehicle C,2.25,1.4074550734989701,0.7332034483882233,5.0,36.477270887320444,6.03964161911288,22519,19
Vehicle A,2.25,1.9558910389088964,0.9146004812791395,5.0,25.904792351402364,5.08967507326375,22520,20
Vehicle B,2.25,1.9558910389088964,0.9146004812791395,5.0,16.61945237109856,4.076696256909332,22520,20
Vehicle C,2.25,1.9558910389088964,0.9146004812791395,5.0,20.200309451797136,4.494475436777593,22520,20
Vehicle A,2.25,1.7079726906231179,0.7454867068139392,5.0,8.840172533097428,2.9732427639023067,22521,21
Vehicle B,2.25,1.7079726906231179,0.7454867068139392,5.0,16.63369263185753,4.07844242718437,22521,21
Vehicle C,2.25,1.7079726906231179,0.7454867068139392,5.0,20.289444028517778,4.504380537711904,22521,21
Vehicle A,2.25,1.781173458068448,0.8342739024745868,5.0,16.61945237109856,4.076696256909332,22522,22
